,precision,recall,f1_score,support,tp,fp,fn,tn
Visitor,1.0,0.99,0.9949748743718593,100,99,0,1,1200
Decorator,0.99,0.99,0.99,100,99,1,1,1199
Observer,1.0,0.98,0.98989898989899,100,98,0,2,1200
Memento,1.0,0.9696969696969697,0.9846153846153847,99,96,0,3,1201
Proxy,1.0,0.96,0.9795918367346939,100,96,0,4,1200
Singleton,0.9896907216494846,0.96,0.9746192893401014,100,96,1,4,1199
Builder,0.97,0.97,0.97,100,97,3,3,1197
Adapter,0.9795918367346939,0.96,0.9696969696969697,100,96,2,4,1198
Prototype,0.9693877551020408,0.9595959595959596,0.964467005076142,99,95,3,4,1198
Facade,1.0,0.9019607843137255,0.9484536082474228,102,92,0,10,1198
None,0.8928571428571429,1.0,0.9433962264150945,100,100,12,0,1188
AbstractFactory,0.8952380952380953,0.94,0.9170731707317075,100,94,11,6,1189
FactoryMethod,0.8715596330275229,0.95,0.9090909090909091,100,95,14,5,1186
