,precision,recall,f1_score,support,tp,fp,fn,tn
Visitor,1.0,0.99,0.9949748743718593,100,99,0,1,1200
Observer,0.98989898989899,0.98,0.9849246231155778,100,98,1,2,1199
Decorator,1.0,0.97,0.9847715736040609,100,97,0,3,1200
Memento,0.9797979797979798,0.9797979797979798,0.9797979797979798,99,97,2,2,1199
Proxy,1.0,0.96,0.9795918367346939,100,96,0,4,1200
AbstractFactory,0.9514563106796117,0.98,0.9655172413793104,100,98,5,2,1195
Prototype,0.96,0.9696969696969697,0.964824120603015,99,96,4,3,1197
Adapter,0.9791666666666666,0.94,0.9591836734693877,100,94,2,6,1198
Singleton,0.9893617021276596,0.93,0.9587628865979382,100,93,1,7,1199
Builder,0.9504950495049505,0.96,0.9552238805970149,100,96,5,4,1195
Facade,1.0,0.9117647058823529,0.9538461538461539,102,93,0,9,1198
None,0.8771929824561403,1.0,0.9345794392523363,100,100,14,0,1186
FactoryMethod,0.8623853211009175,0.94,0.8995215311004784,100,94,15,6,1185
