Project,Class,Pattern Predicted
ChenSun,Statement,
dozer,BaseSampleBeanFactory,FactoryMethod
graph-collections,SpatialIndexVisitor,Visitor
api,SingletonProvider,Singleton
thredds,Nc4prototypes,Prototype
sslr,MatcherVisitor,Visitor
ChenSun,V1toV2StatementInterceptorAdapter,Adapter
cxf,ParamTypeSpecVisitor,Visitor
eclipse.platform.debug,MementoUpdate,Memento
cdt,ControlFlowGraphBuilder,Builder
Lord-of-Ultima-Manager,SessionAdapter,Adapter
cdt,AbstractCExtensionProxy,Proxy
maven-3,DefaultSettingsBuilder,Builder
biojava-legacy,SequenceBuilderFactory,FactoryMethod
biomixer,FixedLabelResourceSetAvatarFactory,FactoryMethod
intellij-community,MockFileIndexFacade,Facade
flume_1,BenchmarkInjectDecorator,Decorator
cdt,ACBuilder,Builder
Emma,AbstractItemVisitor,Visitor
swing-mvc-demo,GroupModelObserver,Observer
crunch,JobPrototype,Prototype
ChenSun,ConnectionGroup,
molgenis_apps,MolgenisUserDecorator,Decorator
cdt,IPathSettingsContainerVisitor,Visitor
biomixer,ResourceSetPresenterDropCommandFactory,FactoryMethod
coala,DocumentEntryBuilder,Builder
drools,Memento,Memento
cdt,DocumentAdapter,Adapter
java-design-patterns-master,WeatherObserver,Observer
AllBinary-Platform,ConstrainedMotionRectanglesResultsCacheSingleton,Singleton
BuildCraft,EnergyProxyClient,Proxy
JavaDesignPatternExercises,Memento,Memento
de-webapp,MessageServiceFacade,Facade
BuildCraft,EnergyProxy,Proxy
carrot2,SimpleXmlMemento,Memento
cw-omnibus,ContentsAdapter,Adapter
cytoscape-plugins,ObjectFactorySingleton,Singleton
jbehave-core,SpringAnnotationBuilder,Builder
cdt,ModulesViewModelProxy,Proxy
AllBinary-Platform,GameConfigurationPersistanceSingleton,Singleton
basiclti-portlet,SakaiAdapter,Adapter
smsc-server,StatisticsObserver,Observer
cucumber-jvm,ZipResourceIteratorFactory,FactoryMethod
OneSwarm,DHTRouterObserver,Observer
pmd,DumpFacade,Facade
cdk,FacesConfigAdapter,Adapter
ASEME,StatechartFactoryImpl,AbstractFactory
petals-studio,MailFactoryImpl,AbstractFactory
DownloadProvider,DownloadAdapter,Adapter
ChenSun,ConnectionProperties,
cxf,MultipleEndpointObserver,Observer
DimSim,RTMPTCodecFactory,AbstractFactory
cxf,VisitorBase,Visitor
cdk,LibraryBuilder,Builder
flume_1,GunzipDecorator,Decorator
jbehave-core,WeldStepsFactory,FactoryMethod
jbehave-core,CalendarConverter,
pcgen-svn,TermEvaluatorBuilderPCStat,Builder
jbehave-core,Trader,
SamyGo-Android-Remote,CSeriesKeyCodeSenderFactory,FactoryMethod
intellij-community,FileIndexFacade,Facade
platform,ActivityMediationStatisticsObserver,Observer
liferay-portal,LayoutPrototype,Prototype
flume_1,BloomCheckDecorator,Decorator
petals-studio,MailFactory,FactoryMethod
biomixer,Memento,Memento
pcgen-svn,LanguageChooserFacade,Facade
cdt,IListAdapter,Adapter
CIDE,ScreenSingleton,Singleton
java-design-patterns-master,OrcKingdomFactory,AbstractFactory
WhartonEventScheduler,EventListCursorAdapter,Adapter
platform,RestAPIObserver,Observer
cayenne,WidgetFactory,AbstractFactory
BuildCraft,TransportProxy,Proxy
cxf,EndpointReferenceDomainExpressionBuilder,Builder
platform,STSObserver,Observer
brightroom,AppHistoryObserver,Observer
pcgen-svn,ManufacturableFactory,FactoryMethod
android-rackspacecloud,NioTransformingHttpCommandExecutorServiceModule,
jbehave-core,SameThreadExecutors,
jamendo-android,ReviewBuilder,Builder
jbehave-core,SpringStoryReporterBuilder,Builder
jbehave-core,CompositeNestedSteps,
s4,PrototypeRequest,Prototype
suite,Prototype,Prototype
cdt,CDataProxyContainer,Proxy
CIDE,ScreenSingleton,Singleton
ChenSun,BlobFromLocator,
Catroid,PrototypeBrickAdapter,Adapter
jbehave-core,GroovyAnnotationBuilder,Builder
emf.compare,DefaultComparisonFactory,FactoryMethod
intellij-community,SingletonMap,Singleton
maven-3,DefaultJavaToolchainFactory,FactoryMethod
flume_1,DigestDecorator,Decorator
iBatisWorkShop,SingletonConnectionManager,Singleton
osate2-core,FeaturePrototype,Prototype
3taps-Java-Client,BestMatchResponse,
pcgen-svn,SpellFacade,Facade
Lord-of-Ultima-Manager,TroopAdapter,Adapter
sslr,SymbolTableBuilderVisitor,Visitor
jbehave-core,ParameterConverters,Facade
lcmc,PrototypeFactory,FactoryMethod
jbehave-core,StoryReporterBuilder,Builder
openejb,SingletonContext,Singleton
pcgen-svn,StatFacade,Facade
cdt,CVisitor,Visitor
cxf,PortTypeVisitor,Visitor
cxf,JaxbAssertionBuilder,Builder
sslr,FirstVisitor,Visitor
cdt,UpdatePolicyDecorator,Decorator
cdt,CodeFormatterVisitor,Visitor
BuildCraft,BuilderProxy,Proxy
fafdtibb,FatNodeBuilderFactory,Builder
ChenSun,ConnectionGroupManager,
spring-social-twitter,PlacePrototype,Prototype
orion.server,OSGiConsoleFactory,FactoryMethod
spring-migration-analyzer,DelegatingClassVisitor,Visitor
frostwire-desktop,MRJ23EventProxy,Proxy
ChenSun,JDBC4MysqlXAConnection,
molgenis_apps,MeasurementDecorator,Decorator
ChenSun,ConnectionFeatureNotAvailableException,
drools,Memento,Memento
cxf,ClientOutFaultObserver,Observer
pcgen-svn,InfoFactory,FactoryMethod
mongkie,SimpleDefaultDecorator,Decorator
SmartBIPrototype,SmartBIPrototype,Prototype
osate2-core,ComponentPrototypeImpl,Prototype
biomixer,ResourceSetFactory,FactoryMethod
de-webapp,UserSessionServiceFacade,Facade
jbehave-core,GuiceAnnotationBuilder,Builder
eclipse.platform.ui,IMemento,Memento
pellet,AtomObjectVisitor,Visitor
cdt,DefaultVMModelProxyStrategy,Proxy
pcgen-svn,AbstractListFacade,Facade
platform,Axis2ConfigurationContextObserverImpl,Observer
pcgen-svn,PopupMouseAdapter,Adapter
ecf,IDFactory,FactoryMethod
prevayler,MementoTransaction,Memento
faban,SocketFactory,FactoryMethod
jamendo-android,TrackBuilder,Builder
harmony-classlib,MockBeanContextProxy,Proxy
3taps-Java-Client,UpdateResponse,
AllBinary-Platform,DisplayInfoSingleton,Singleton
ocl,CompleteOCLCSTFactoryImpl,AbstractFactory
fest-reflect,PostDecorator,Decorator
petals-studio,Filetransfer3FactoryImpl,AbstractFactory
cdk,BehaviorRendererAdapter,Adapter
cxf,AddressingAssertionBuilder,Builder
pcgen-svn,CampaignInfoFactory,FactoryMethod
cdt,DelegatingDragAdapter,Adapter
maven-3,MavenSettingsBuilder,Builder
jamendo-android,AlbumBuilder,Builder
po-mindstorms,FacadeSector,Facade
Get-Another-Label,Decorator,Decorator
flume_1,LazyOpenDecorator,Decorator
OneSwarm,ExternalTextResourcePrototype,Prototype
prevayler,MementoManagerCommand,Memento
Pydev,DialogMemento,Memento
Generic-Graph-View,InstancemodelFactory,AbstractFactory
osate2-core,FeaturePrototypeReferenceImpl,Prototype
accent,ControlledConnectionProxy,Proxy
maven-3,ArtifactFactory,FactoryMethod
JagTrack,Prototype,Prototype
cdt,ASTCommenterVisitor,Visitor
pcgen-svn,RaceFacade,Facade
spring-batch,ItemWriterAdapter,Adapter
BuildCraft,BuilderProxyClient,Proxy
pcgen-svn,XPTableFacade,Facade
Promasi-V2,SdSystemMemento,Memento
AndroidBillingLibrary,MockBillingObserver,Observer
flume_1,BenchmarkReportDecorator,Decorator
eclipse.platform.debug,ExpressionManagerMementoProvider,Memento
platform,MessageStoreObserver,Observer
coala,PdqMessageBuilderImpl,Builder
Generic-Graph-View,GraphViewMappingFactory,AbstractFactory
Android-RTMP,FFMPEGPrototype,Prototype
fuzzydb,BooleanDecorator,Decorator
openejb,ThreadSingletonServiceImpl,Singleton
OpenSIG,ImportacaoProxy,Proxy
java-game-server,UDPPipelineFactory,FactoryMethod
cxf,SimpleTypeSpecVisitor,Visitor
flume_1,HelloWorldDecorator,Decorator
osate2-core,FeatureGroupPrototypeBindingImpl,Prototype
dozer,ClassMapBuilder,Builder
activemq,JobFacade,Facade
intellij-community,Singleton,Singleton
Lord-of-Ultima-Manager,CityAdapter,Adapter
maven-cuke4duke-jump-start,WebDriverFacade,Facade
geronimo,CORBAEJBMemento,Memento
ChenSun,MysqlConnectionPoolDataSource,
maven-3,DefaultJavaToolchainFactory,FactoryMethod
AllBinary-Platform,MakeCountedPartsSingletonArrayFactory,Singleton
Cream,LoggingObserver,Observer
Dual-Battery-Widget,IntentReceiver,
platform,ConfigurationContextObserverImpl,Observer
freemind,ExtendedAttributeTableModelDecorator,Decorator
birt,Memento,Memento
IDV,PrototypeManager,Prototype
